result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.31,ST040099,<p>%(v/v)</p>,2025-05-07 20:00:00,丙烷,延化60万吨/年气体分馏装置
0.000,ST040099,"<p>%(v/v)</p>
",2025-05-07 20:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-07 20:00:00,正丁烯,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-07 20:00:00,异丁烯,延化60万吨/年气体分馏装置
99.68,ST040099,<p>%(v/v)</p>,2025-05-07 20:00:00,丙烯,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,异丁烯,延化60万吨/年气体分馏装置
33,ST040099,<p>ppm</p>,2025-05-08 08:00:00,水含量,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,正丁烯,延化60万吨/年气体分馏装置
0.000,ST040099,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.34,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,丙烷,延化60万吨/年气体分馏装置
99.63,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,丙烯,延化60万吨/年气体分馏装置
0.03,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,异丁烷,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040099,<p>%(v/v)</p>,2025-05-08 08:00:00,顺丁烯,延化60万吨/年气体分馏装置
0.000,ST040099,"<p>%(v/v)</p>
",2025-05-08 20:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
