result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.00,ST010129,%(m/m),2025-05-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010129,%(m/m),2025-05-05 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010129,%(m/m),2025-05-05 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-05 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.08,ST010129,%(m/m),2025-05-06 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
99.86,ST010129,%(m/m),2025-05-06 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010129,%(m/m),2025-05-06 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-06 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.08,ST010129,%(m/m),2025-05-07 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
99.88,ST010129,%(m/m),2025-05-07 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010129,%(m/m),2025-05-07 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-07 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010129,%(m/m),2025-05-08 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
99.89,ST010129,%(m/m),2025-05-08 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010129,%(m/m),2025-05-08 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010129,%(m/m),2025-05-08 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
