result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,一氧化碳,延炼50万吨/年航煤装置
0.14,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氮气,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氧气,延炼50万吨/年航煤装置
未检出,ST010379,体积分数 %,2025-05-29 08:00:00,硫化氢,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,碳五(合计),延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,碳四(合计),延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,乙烯,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,丙烯,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,丙烷,延炼50万吨/年航煤装置
99.86,ST010379,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氢气,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,碳五(合计),延炼50万吨/年航煤装置
未检出,ST010379,体积分数 %,2025-06-05 08:00:00,硫化氢,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,碳四(合计),延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,乙烯,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,丙烯,延炼50万吨/年航煤装置
0.00,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,丙烷,延炼50万吨/年航煤装置
0.01,ST010379,"<p>%(v/v)</p>
",2025-06-05 08:00:00,甲烷,延炼50万吨/年航煤装置
